Trained_Weights,Dataset,Network,Overlap,OverlapdMode,MACs_GMac,Params_M,Train_Time_h,Peak_Train_Mem_GB,Infer_Lat_ms,Infer_Lat_p95_ms,Peak_Infer_Mem_GB,Dice_Spl,Dice_Rkid,Dice_Lkid,Dice_Gall,Dice_Eso,Dice_Liver,Dice_Sto,Dice_Aorta,Dice_IVC,Dice_Veins,Dice_Pan,Dice_Rad,Dice_Lad,Mean_Dice,HD_Spl,HD_Rkid,HD_Lkid,HD_Gall,HD_Eso,HD_Liver,HD_Sto,HD_Aorta,HD_IVC,HD_Veins,HD_Pan,HD_Rad,HD_Lad,Mean_HD
/root/output/FZ_full_network_3DUXNET_EffiDec3D_fc48_96_192_384_n_decoder_channels384_rf1_skip_aggregation_concatenation_roi96x96x96_vb1_cs4_overlap0.7_dsFalse_pretrain_False_lr_0.001,BTCV13,3DUXNET_EffiDec3D,0.7,constant,657.76,46.720,10.39,8.31,43.3,43.4,1.76,0.9096,0.8643,0.8691,0.7681,0.7795,0.9569,0.7986,0.9183,0.8607,0.6952,0.6976,0.6707,0.6681,0.8044,5.9232,7.5527,10.8290,2.9511,3.4445,6.2731,11.0050,1.3881,3.4356,8.1495,7.8325,3.2323,4.1099,5.8559
/root/output/FZ_chan_network_3DUXNET_EffiDec3D_fc48_96_192_384_n_decoder_channels48_rf1_skip_aggregation_concatenation_roi96x96x96_vb1_cs4_overlap0.7_dsFalse_pretrain_False_lr_0.001,BTCV13,3DUXNET_EffiDec3D,0.7,constant,388.15,2.242,9.28,7.25,35.2,35.3,1.21,0.9259,0.8612,0.8679,0.7311,0.7695,0.9514,0.7797,0.9109,0.8543,0.7084,0.6982,0.6482,0.6674,0.7980,26.5571,24.3150,10.1992,13.3818,7.7524,22.1352,14.6564,2.9485,4.5797,7.4387,6.4584,3.4793,4.1617,11.3895
/root/output/FZ_res_network_3DUXNET_EffiDec3D_fc48_96_192_384_n_decoder_channels384_rf2_skip_aggregation_concatenation_roi96x96x96_vb1_cs4_overlap0.7_dsFalse_pretrain_False_lr_0.001,BTCV13,3DUXNET_EffiDec3D,0.7,constant,319.10,46.323,5.29,6.31,16.1,16.2,0.77,0.9145,0.8408,0.8608,0.7256,0.7262,0.9516,0.7924,0.9062,0.8297,0.6606,0.6777,0.6102,0.6393,0.7797,8.0522,14.6590,3.3703,3.3656,4.1517,6.4362,11.5896,2.2331,4.5392,10.0394,8.0488,4.2881,4.8843,6.5890
/root/output/FZ_effi_network_3DUXNET_EffiDec3D_fc48_96_192_384_n_decoder_channels48_rf2_skip_aggregation_concatenation_roi96x96x96_vb1_cs4_overlap0.7_dsFalse_pretrain_False_lr_0.001,BTCV13,3DUXNET_EffiDec3D,0.7,constant,49.49,1.844,4.39,5.73,8.0,8.1,0.23,0.9083,0.8451,0.8692,0.7051,0.7477,0.9424,0.7694,0.9062,0.8504,0.6658,0.6848,0.6503,0.6404,0.7835,28.4956,27.3949,10.5155,20.7325,4.1822,23.3598,11.4881,2.5950,3.5012,9.4878,7.6266,3.0870,14.0989,12.8127
